相談内容,回答内容,回答に使用したQA資料
課税・納税証明書,滋賀県国際協会の情報だけを根拠に、課税・納税証明書に関する記述は見当たりません。よって、提供できる具体的な事実はありません。,"[{""sid"": ""S1"", ""question"": ""様々な税金"", ""answer"": ""不動産取得税\n不動産取得税は不動産の取得者に課せられます。\n自動車税\nすべての自動車の所有者に課せられます。（滋賀県自動車税務署）\n軽自動車税\n軽自動車の所有者に課せられます。（各市町村税務担当課）\n固定資産税\n固定資産税は、毎年1月1日に土地、家屋などを所有しているものに課せられます。""}]"
登校予定日の確認,登校予定日の確認については、滋賀県国際協会の情報 source に限定して提供します。まず、学校からの通知や公式連絡（学校の発表、保護者宛の連絡、学校ホームページの告知）を確認してください。必要に応じて、学校の担当窓口または滋賀県教育委員会の連絡先に問い合わせてください。,"[{""sid"": ""S1"", ""question"": ""自分の年金情報をチェック！"", ""answer"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}]"
通訳の依頼,滋賀県国際協会の情報には、通訳依頼に関する直接の案内は記載されていません。技術実習や法的相談などの窓口情報は提供されていますが、通訳依頼の具体的な連絡先は示されていません。必要に応じて、関連する窓口（ OTIT、法テラス、滋賀弁護士会 など）を通じて通訳サービスの紹介を受けることをお勧めします。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
近所トラブル,近所トラブルは、まず相手と話し合いを試みることが基本です。解決が難しい場合は、滋賀県国際協会の情報に基づく窓口として、労働トラブルでは労働基準監督署、法律相談は法テラスを案内します。犯罪や緊急事態の場合は交番・警察へ相談してください。具体的な事案の詳細や相談先は、滋賀県内の公的機関の案内を参照してください。,"[{""sid"": ""S3"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S4"", ""question"": ""犯罪や交通事故にあったとき （事件・事故）"", ""answer"": ""交番\n日本では街角などに「交番」があり、警察官が駐在しています。地域のパトロールや犯罪の防止、家出人や落し物などの届け出を受け付けたり、道案内などを行っていますので、困ったことがあったら気軽に立ち寄ってみましょう。\n盗難や暴行にあったとき\n留守中に泥棒に入られたり、暴力の被害にあったときは、近くの交番や警察署に届けてください。\n緊急に助けを求めたい時は、110番に電話をしましょう。預金通帳，クレジットカードを盗まれた時は、銀行やカードの発行会社に届け出て、支払停止の手続きを要請することが必要です。\n交通事故にあったとき\n交通事故にあったら、どんな小さな事故でも警察に届けましょう。ケガ人がいる時は救急車を呼んでください。""}, {""sid"": ""S5"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}]"
会社からバイクの運転を禁止されたことについて,会社からバイクの運転を禁止された場合、就業規則や社内規程に基づく懲戒処分の範囲で対応します。滋賀県国際協会の情報源には、バイクの運転禁止の具体的な法的根拠や処分方法の記載はありません。運転禁止が就業規則上の規定に基づくものか、別途社内の規程や労働契約の内容を確認してください。必要に応じて就業規則の条文や労働契約の有効性について専門家へ相談することを推奨します。,"[{""sid"": ""S4"", ""question"": ""正社員と非正規社員との間の不合理な待遇差が禁止されました！（2020年４月１日施行。中小企業における適用は、2021年４月１日。）"", ""answer"": ""同一企業内における正社員（無期雇用フルタイム労働者）とパートタイム労働者・有期 雇用労働者との間の不合理な待遇の差をなくし、どのような雇用形態を選択しても待遇 に納得して働き続けることができるよう、パートタイム・有期雇用労働法や施行規則、 同一労働同一賃金ガイドライン、パートタイム・有期雇用労働指針が施行されます。\n１ 不合理な待遇差の禁止\n同一企業内において、正社員と非正規雇用労働者との間で、基本給や賞与などの あらゆる待遇について、不合理な待遇差を設けることが禁止されます。 ガイドライン（指針）において、どのような待遇差が不合理に当たるかを例示します。\n２ 労働者に対する待遇に関する説明義務の強化\n非正規雇用労働者は、「正社員との待遇差の内容や理由」などについて、事業主に 説明を求めることができるようになります。 事業主は、非正規雇用労働者から求めがあった場合は、説明をしなければなりません。\n３　行政による事業主への助言・指導等や裁判外紛争解決手続き（行政ADR）の整備\n都道府県労働局において、無料非公開の紛争解決手続きを行います。　「均等待遇」や「待遇差の内容・理由に関する説明」についても、行政ADRの対象となります。\nお問い合わせ　滋賀労働局　077-522-6648""}, {""sid"": ""S5"", ""question"": ""運転免許証について"", ""answer"": ""滋賀県運転免許センター\n守山市木浜町2294番地　　℡　077-585-1255""}]"
家庭裁判所からの書類,家庭裁判所の調停で話し合うことができます。大津家庭裁判所（電話: 077-503-8151）をはじめ、彦根支部（0749-22-0167）・長浜支部（0749-62-0240）へご相談ください。必要に応じて京都外国人の夫婦と親子に関する紛争解決センター（075-692-3555）もご案内します。,"[{""sid"": ""S1"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
診療後の通訳,滋賀県国際協会の情報に基づくと、診療後の通訳についての具体的な案内はS3/S4には記載がなく、外国語対応医療機関の情報は別サイトを参照するよう案内されています。したがって、診療後の通訳を確実に利用したい場合は、OTIT外国人技能実習機構の母国語相談窓口や、対応言語別の連絡先を活用して事前に手配するのが確実です。Tel等の連絡先はS2に記載されています。,"[{""sid"": ""S2"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
法律相談について,滋賀県国際協会の情報だけを根拠に簡潔にお伝えします。法律相談には法テラスと滋賀弁護士会が情報提供先として挙げられています。法テラスには日本語・多言語ダイヤルがあり、滋賀県内の窓口として法テラス滋賀の連絡先も案内されています。就業や離婚などの具体的な法的問題については、適切な窓口へ連絡して案内を受けてください。,"[{""sid"": ""S1"", ""question"": ""法律についての相談は"", ""answer"": ""法テラス\n℡　0570-078374（日本語）\n℡　0570-078377（英語、中国語、韓国語、スペイン語、ポルトガル語、ベトナム語、タガログ語)\n℡　03-5366-6008（多言語ダイヤル）\n法テラス滋賀\n大津市浜大津1-2-22　大津商中日生ビル５Ｆ\n℡　050-3383-5454\n滋賀弁護士会\n大津市梅林１-３-３""}]"
自分の権利について,自分の権利として、事実を知る権利・黙秘権・弁護人依頼権が保障されています（当番弁護士制度あり）。滋賀弁護士会の当番弁護士専用電話は077-522-2013、法テラスの多言語案内は0570-078-377です。起訴後には国選弁護人を依頼する権利もあります。,"[{""sid"": ""S1"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
親知らずの抜歯,滋賀県国際協会の情報には、親知らずの抜歯の具体的な医療手技や治療方針の詳細は掲載されていません。抜歯を検討する際は、歯科医院での個別診断と専門医の判断が必要です。痛みや腫れ、感染リスクなどの症状がある場合は、早速受診してください。治療費や保険適用、術式の選択肢などの一般的情報は、担当の歯科医療機関に直接確認してください。,[]
生活費が不足している,滋賀県内で生活費が不足している場合、公的支援として以下の制度があります。就学援助（小中学校の学用品・通学用品等の一部を援助。生活保護対象等が対象、申請は在籍校・教育委員会経由）、児童手当（生後～中学校卒業まで。状況により同居家族等へ支給されます）、幼児教育・保育・3～5歳クラスの利用料の無償化、住居確保給付金（家賃の一部を自治体を通じて家主へ支給。原則3か月、最長9か月。ただし滋賀県では県営住宅の一時受け入れも実施）、高等学校等就学支援制度・高校生等奨学給付金・高等教育の修学支援新制度など、収入状況に応じて授業料・費用の免除・減額・給付型奨学金の支援があります。お住まいの市町の福祉課、教育委員会、または社会福祉協議会に相談・申請してください。,"[{""sid"": ""S4"", ""question"": ""子どもたちが安心して育つために　～公的援助制度について～"", ""answer"": ""子育てには養育費・教育費などたくさんのお金がかかります。日本には、子育てを経済的に援助する様々な公的制度があります。申請の必要なものもありますので、それぞれの申請時期を確認してうまく利用しましょう。\n児童手当制度\n生後から中学校卒業年齢までの児童を養育している方へ児童手当が支給されます。父母が別居している場合は、児童と同居している方に優先的に支給され、また、父母が海外に住んでいる場合、日本国内で児童を養育している方を指定すれば、その方に支給されます。\n[ 問合せ ]\n各市町\n幼児教育、保育、小中学校の授業料の無償化\n幼稚園、保育園、認定こども園の３～５歳児クラスの利用料は無料です。住民税非課税世帯は　０～２歳児クラスでも無料になります。また就労等の保育の必要性の認定を受ければ、預かり保育の利用にも補助が出ます。公立小中学校の授業料も無償化の対象です。\n[ 問合せ ]\n各市町　内閣府HP\n内閣府HP (https://www8.cao.go.jp/shoushi/shinseido/musyouka/about/index.html)\n就学援助制度\n公立の小中学校に就学している児童生徒の保護者に、学用品、通学用品、PTA会費等就学に必要な費用の一部を援助する制度です。生活保護対象の保護者、およびそれに準ずる保護者が対象です。\n[ 問合せ ]\n在籍している小中学校や市町教育委員会\n高等学校等就学支援制度\n年収９１０万円未満の世帯に対して、高校等（高専、高等専修学校等を含む）に在学する生徒の授業料について支援されます。保護者の方に直接支給されるのではなく、学校が受け取り、授業料に充当されます。\n[ 問合せ ]\n在籍している学校を通じて申請\n高校生等奨学給付金\n授業料以外の教育費負担を軽減するため、高校生等がいる低所得者世帯を対象に支援があります。\n[ 問合せ ]\n在学している学校を通じて、私立の場合は滋賀県総務部私学・県立大学振興課、国公立の場合は、滋賀県教育委員会教育総務課\n高等教育の修学支援新制度（授業料等減免と給付型奨学金）\n世帯収入等により、大学や専門学校などの授業料・入学金の免除または減額や給付型の奨学金の支給支援があります。高等学校在学中にも申請できます。\n[ 問合せ ]\n在籍、入学予定の学校・日本学生支援機構\n高等教育の修学支援新制度（授業料等減免と給付型奨学金）\n世帯収入等により、大学や専門学校などの授業料・入学金の免除または減額や給付型の奨学金の支給支援があります。高等学校在学中にも申請できます。\n[ 問合せ ]\n在籍、入学予定の学校・日本学生支援機構""}, {""sid"": ""S5"", ""question"": ""新型コロナウイルス感染症の影響を受けた方への生活支援について"", ""answer"": ""住居確保給付金（家主さんに直接支払われる家賃）\n対象\n離職・廃業から２年以内または休業等により収入が減少し、離職等と同程度の状況にある方\n支給期間\n原則３カ月（最長９カ月まで）\n支給額\n家賃相当額を自治体から家主さんに支給\n申請方法\n市にお住まいの方は各市。町にお住まいの方は各町の社会福祉協議会\nご案内\n住居確保給付金のご案内はこちらから (https://www.mhlw.go.jp/content/000626236.pdf)\n★滋賀県では県営住宅での一時的な受入れを行っています。\n対象\n新型コロナウイルスの感染症に起因する解雇等により住宅の退去を余儀なくされた方\n入居期間\n最長一年間\n申込方法\n県庁土木交通部住宅課へお電話　（℡　０７７－５２８－４２３４）\nその他、生活にお困りの方は、お住まいの市町の福祉課や社会福祉事務所で相談しましょう！""}]"
退職に伴う社宅費用および退職証明書について,お尋ねの「退職に伴う社宅費用および退職証明書」について、滋賀県国際協会の情報だけを根拠として事実ベースで簡潔に回答します。社宅費用については、S2の賃貸住居情報において敷金・礼金・仲介手数料などの基本的な契約要素が記載されていますが、社宅特有の取扱いや費用負担の規定（退職後の清算や退去時の原状回復の扱いなど）については、滋賀県国際協会の提供情報には具体的な記載はありません。従って、社宅費用の取り扱いは契約書の条項および貸主・管理会社との契約条件を確認してください。退職証明書については、提供情報には記載がありません。一般的には退職に伴う証明書発行は雇用契約・就業規則・所属機関の案内に従うべきですが、滋賀県国際協会の情報源には詳述がありません。必要な場合は、所属先の人事部門または社宅管理部門へ問い合わせてください。,"[{""sid"": ""S2"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
不法滞在者の今後について,滋賀県国際協会の情報では、在留期間を経過した不法滞在者は原則として5年間日本への再入国が不可となり、場合により退去強制や永久入国不可の事由が生じることがあります。自主出頭の場合は帰国手続き、逮捕された場合は入国管理法違反として起訴の可能性があり、判決まで約1か月半程度拘置・移管の流れを経ることがあります。期間がやむを得ない事情で短期間の不法滞在であれば、期間更新の手続き後に出国します。なお具体的な今後の実務対応や個別の手続きは、法務当局の判断に従います。,"[{""sid"": ""S1"", ""question"": ""在留期間を経過するとどうなるのですか？"", ""answer"": ""在留期間が経過すると入国管理法における「不法滞在」になります。この場合、原則として5年間は日本への再入国ができません。退去強制処分を受けた事由（犯罪行為の種類、刑の軽重等）によっては、永久に入国できない場合もあります。\n退去強制\n在留期間切れのまま、故意にとどまっている場合に適用されます。自主出頭の場合と逮捕された場合で手続き等が異なります。\n自主出頭の場合\n警察に捕まる前に入国管理局に出頭した場合、起訴はされずに自分で帰国することになります。\n逮捕された場合\n入国管理法違反ということで、10日以内に入国管理局に引き渡される場合と起訴される場合があります。起訴された場合は裁判になりますので、判決が出るまで通常約１カ月半、拘置所又は警察署で拘置された後、入国管理局に移管され、強制送還となります。\n通常出国\n本人が病気等、やむを得ない事でごく短期間「不法滞在」の状態になっている場合は、期間更新の手続きをとり、その後出国することになります。""}]"
職場での悩みについて,滋賀県国際協会の情報に基づくと、高校生のアルバイトは18歳未満でも条件を満たせば就労が認められますが、就労には保護者の同意書・年齢証明書・在留カードの提示が求められ、危険や有害な業務の就労制限、深夜・時間外・休日の労働制限などの規定があります。雇用契約書を交わし、内容を確認することが重要です。万が一、いじめ・パワハラ・セクハラ・ブラックバイトなどの問題があれば、滋賀労働局 雇用環境・均等室へ相談してください。闇バイトには絶対に応募しないこと、個人情報の取扱いに注意してください。必要な相談先としては滋賀労働局 TEL077-523-1190、労働条件相談ほっとライン、警察相談ダイヤル#9110があります。なお、職業紹介や就労に関する一般的な相談はハローワークを活用してください。,"[{""sid"": ""S1"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}]"
納税課税証明書の発行,滋賀県内の税務署発行の納税証明書（納税課税証明書）については、管轄の税務署で申請できます。窓口での申請のほか、郵送やオンライン申請の可否・手続き方法は各税務署の案内をご確認ください。なお、具体的な発行手数料や用紙、必要書類は税務署ごとに異なるため、事前にお電話で確認されることを推奨します。,"[{""sid"": ""S1"", ""question"": ""滋賀県内の税務署"", ""answer"": ""大津税務署　TEL：077-524-1111\n管轄区域：大津市\n草津税務署　TEL：077-562-1315\n管轄区域：草津市、守山市、栗東市、野洲市\n水口税務署　 TEL：0748-62-0314\n管轄区域：甲賀市、湖南市\n近江八幡税務署　TEL：0748-33-3141\n管轄区域：近江八幡市、東近江市、蒲生郡\n彦根税務署　TEL：0749-22-7640\n管轄区域：彦根市、愛知郡、犬上郡\n長浜税務署　 TEL：0749-62-6144\n管轄区域：長浜市、米原市\n今津税務署　TEL：0740-22-2561\n管轄区域：高島市""}]"
滋賀県で仕事を探したい,滋賀県内の仕事探しには、民間賃貸住宅情報と同様に就職支援情報は本ガイドの住宅情報と直接関係しません。滋賀県内の一般的な就職情報としては、滋賀県が提供する就労支援窓口や求人情報サイト、ハローワーク等を活用してください。必要であれば、就労支援窓口の連絡先や手順を案内します。,"[{""sid"": ""S1"", ""question"": ""住宅を探しています。"", ""answer"": ""県営住宅や市営住宅の他、民間の住宅もあります。市営住宅については市町役場にたずねましょう。\n- 県営住宅 滋賀県営住宅管理センター (https://shiga-kenei.com) ℡　077-510-1500 ℡　077-510-1501　(外国人専用)\n- 滋賀あんしん賃貸支援事業 (https://www.shiga-anshin.net/)\n- 日本賃貸住宅管理協会 (https://www.jpm.jp/) 日本賃貸住宅管理協会 English (https://www.jpm.jp/foreigner/)\n- ＵＲ賃貸住宅 (https://www.ur-net.go.jp/chintai/kansai/shiga/counter/)\n- VILLAGE HOUSE (ENG, POR) (https://www.villagehouse.jp)\n- 大東建託(多言語 Multilingual) (http://e-heya.kentaku.net/shiga/)\n民間賃貸住宅についての相談は\n滋賀県土木交通部住宅課 (http://www.pref.shiga.lg.jp/h/jutaku/sumai_machi/safetynet/soudan.html)\n℡077-528-4235""}]"
生徒について,滋賀県内の中学校は、市町立・国立・県立・私立・義務教育学校・特別支援学校など多様な選択肢があり、進学先は学区や受験の有無により決まります。中学校の教科は主に9科目で、年4–5回の定期試験と実力テストがあります。部活動は自由加入で、放課後や休日に活動します。制服や体操服の着用、通学方法は学校により自転車・電車通学が認められ、通学の安全確保が重要です。中学2年時には「中学生チャレンジウィーク」として職場体験を行い、三者面談を含む進路相談が進学に影響します。授業料・教科書代は基本無料ですが、入学準備費用や年間の諸費用が必要です。就学援助制度の対象となる場合があります。,"[{""sid"": ""S1"", ""question"": ""子育て応援シリーズ④ 日本の中学生活とは？"", ""answer"": ""中学校では、小学校の時とは授業内容や学校生活で様々な変化があります。安心して中学生活が送れるよう、中学校について少しご紹介しましょう！\n滋賀県には市町立中学校が93校あります。その他に国立中学校、県立中学校、私立中学校、義務教育学校（小中一貫校）、または特別支援学校あります。（2024年4月1日現在）\n市町立中学校はお住まいの学区によって行く学校が決まっています。\n国立・県立・私立中学への進学を希望する場合は受験があります。受験を希望する人は、小学校高学年くらいから学校の先生と相談して進路を決めていきましょう。\n学校生活について\nQ　中学校ではどのような教科を学びますか？\nA　中学校では主に９つの科目（国語、数学、社会、理科、英語、音楽、美術、保健体育、技術・家庭）を勉強し、教科によって先生が違います。年に4，5回定期試験（中間試験、期末試験）があります。また年に数回実力テストもあり、このテストの結果は進学先を考えるときに参考にします。成績は定期試験の結果、授業への参加状況や遅刻、欠席の状況、提出物（ノートや宿題）で評価され、高校進学にも関わる重要なものです。中学校は義務教育なので落第はありません。\nQ　部活動とは何ですか？\nA　生徒の自主的な活動として部活動があり、基本的に加入は自由です。運動部（野球、サッカー、バスケットボール、陸上、テニスなど）と文化部（美術、吹奏楽、手芸、演劇など）があり、部活動の種類は学校によって異なります。主に放課後や休日に活動します。異なる学年の生徒との交流もあり、大会やコンクールに参加することもあります。\nQ　その他学校生活について教えてください。\nA　多くの中学校では学校ごとに制服があります。制服には夏服と冬服があり、夏服は6月から１０月、冬服は10月から6月まで着ます。体操服も学校で決められたものを着ます。\n通学は学校によって自転車や電車通学が認められているところもあります。自転車通学では、鍵の取り付けやヘルメットの着用、自転車保険への加入が必要です。交通ルールを守って登下校しましょう。\n「中学生チャレンジウィーク」があります。働く大人の姿にふれ、自分の生き方を考える機会として中学２年の時期に５日間の職場体験を経験します。（滋賀県内のすべての公立中学校で実施しています）\nQ　子どもの学校での様子が気になります…。\nA　個人面談の時などで子どもの学校生活や学習についての相談ができます。中学３年生になると、三者面談があり、卒業後の進路や高校受験について生徒・保護者・先生で話し合います。また心配なことがあればその都度先生に相談しましょう。\nQ　中学校でかかる費用にはどのようなものがありますか？\nA　授業料、教科書代は無料ですが、入学準備の費用（制服、体操着、水着、体育館シューズ、カバン、部活動の道具など）や、通年の費用（給食費、副教材・学用品費、PTA会費、遠足・修学旅行費、部活動費、通学関連費など）が必要です。\n※就学援助制度：公立の中学校に就学している生徒の保護者に学用品、通学用品、PTA会費等就学に必要な費用の一部を援助する制度です。生活保護対象の保護者、およびそれに準ずる保護者が対象です。在籍している学校、または市町教育委員会にお問い合わせください。""}]"
在留資格の更新について,滋賀県在住の方の在留資格更新に関する具体的手続き情報は、滋賀県国際協会の提供する情報源には記載がありません。一般的には出入国在留管理庁の在留関係手続きページおよび最寄りの入管窓口での手続きとなります。滋賀県在住者の窓口として大阪入国管理局大津出張所が案内されていますが、更新自体の手続き方法の詳細は公式サイトをご確認ください。必要な場合は外国人在留インフォメーションセンターへの問い合わせも利用できます。,"[{""sid"": ""S1"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
国保税の滞納について,滋賀県国際協会の情報ベースには国民健康保険料（国保税）の滞納に関する具体的な記載がありません。よって、国保税の滞納対応については、滋賀県または市区町村の国民健康保険窓口の案内をご確認ください。一般的には、滞納時の延滞金や分割払いの案内、猶予や減免制度などが案内されることがありますが、公式情報をご確認ください。,"[{""sid"": ""S1"", ""question"": ""所得税"", ""answer"": ""所得のある人は所得税を納めなければなりません。所得は国籍に関わらず1月1日から1年間に得た個人所得のすべてに課税されます。しかし外国人の税金は滞在期間や職種などにより、次のとおりの方法で扱われます。\n- 日本に住所を持ち、または日本に引き続き1年以上居所を有する者や日本に永住しようとしている者で現在まで引き続き5年以上滞在しているものは、外国と日本の所得の両方に基づく税を支払います。\n- 日本に住所を有し、または現在まで引き続いて1年以上居所を有する個人で、日本に永住するつもりがなくかつ現在まで引き続いて5年以内滞在の一時的な居住者は、日本の所得と海外から送られてきたお金に基づく税を支払います。\n- 日本に1年以内の滞在期間で住所を持たないものは、日本の所得だけに基づく税を払います。\n納税者は管轄されている税務署で確定申告を提出します。申告の期間は2月16日から3月15日です。給与収入2000万円以下の給与所得の場合の所得税は、給与から直接差し引かれますので、通常給与所得者は所得税の申告書を提出する必要はありません。""}]"
