相談内容,回答内容,回答に使用したQA資料
扶養について,滋賀県国際協会の情報に基づくと、扶養については公的制度として児童手当や健康保険の被扶養者要件、教育費の公的援助などがあり、条件を満たす場合に利用できます。具体的には、児童手当は生後から高校修了年齢までの児童を養育する方に支給され、年齢区分ごとに額が定められています。看護休暇や育児休業など、就労と子育ての両立を支援する制度もあり、就学援助や高等教育の修学支援など教育費の支援制度もあります。制度ごとに年齢、居住状況、就労状況など条件が異なるため、勤務先や市町窓口、教育委員会等へ個別にご確認ください。,"[{""sid"": ""S1"", ""question"": ""子育て応援シリーズ➂ 仕事と育児の両立を応援！"", ""answer"": ""育児をしながら仕事を続けられるように、産後や育児のための休暇や、復職してから育児をサポートする制度があります。利用するには、雇用状況や加入している保険などについての条件があります。\n★雇用保険（社会保険）の被保険者が利用できる制度\n育児休業制度\n１歳に満たない子を養育するための休業制度です。１歳までの育児休業については、2回に分けて取得することも可能です。父母ともに育児休業を取得する場合や、保育所等に入れない場合には、育児休業期間を延長することもできます。休業開始予定日の１か月前までに、勤務先に書面で申し出てください。一定の条件を満たすと、休業期間中に「育児休業給付金」の支給を受けることができます。支払額は180日までは休業開始時賃金日額の67％、それ以降は50％です。\n出生時育児休業（産後パパ育休）制度\n原則的に男性を対象とした出生後の子を養育するための休業制度です。父親は子どもが生まれた日から８週間以内、４週間分まで取得でき、２回に分割して取得することもできます。休業開始予定日の２週間前までに、勤務先に書面で申し出てください。一定の条件を満たすと「出生時育児休業給付金」の支給を受けることができます。\n支払額は、休業開始時賃金日額ｘ休業期間の日数（28日が上限）ｘ67％です。\n→詳しくは勤務先所在地を管轄するハローワークへ\n産前産後の一定期間の年金、健康保険料が免除、軽減されます（2024年１月より）：・社会保険の加入者が産前産後休業・育児休業を取得する場合、休業中の健康保険料と厚生年金保険料が免除されます。 →詳しくは年金事務所へ\n★労働基準法により定められ、復職後使える制度\n※それぞれの制度には子どもの年齢の制限や勤務時間などの条件があるので勤務先に確認しましょう。\n育児時間\n雇用形態にかかわらずフルタイム勤務の女性労働者は、子どもが1歳未満までの間、休憩時間とは別に１日２回それぞれ少なくとも30分の育児時間を請求できます。育児時間は、勤務時間中でも、勤務時間始め、または終わりにとることもできます。\n短時間勤務制度、時間外労働・深夜業の免除\n男女共に育児する親は、勤務時間の短縮（原則６時間）や時間外、深夜労働（午後１０時から午前５時まで）などの免除を請求することもできます。\n看護休暇\n雇用形態にかかわりなく、小学校就学前の子を養育する労働者は、ケガや病気の子どもの世話や、予防接種や健康診断を受けさせるために、看護休暇を取得できます。小学校就学前の子が１人であれば１年に５日、２人以上であれば10日までの看護休暇を、年次有給休暇とは別に時間単位で取得できます。\n※看護休暇について、有給か無給かは勤務先の制度によって異なります。\n→　相談は滋賀労働局雇用環境・均等室　　℡ 077-523-1190""}]"
親権証明書について,滋賀県情報として、親権証明書に関する具体的な案内は提供されていません。国際結婚・在留に関連する一般的な手続きについては、滋賀県人権施策推進課や在留情報センター等の連絡先をご参照ください。必要な場合は、外国人相談窓口や法務省の在留関連案内をご確認ください。,"[{""sid"": ""S1"", ""question"": ""「滋賀県パートナーシップ宣誓制度」の 開始について（2024年9月2日～）"", ""answer"": ""同性婚が法的に認められていない中で、この制度は、一方または双方がLGBT等の当事者であり、人生において、お互いが協力して継続的に生活を共にすることを約束した二者の関係を宣誓したことについて、県が証明し、宣誓書受領証を交付するものです。宣誓には、事前予約が必要です。\n問合せ先\n滋賀県人権施策推進課\n[日本語]　Tel 077-528-3533\n[外国語]　しが外国人相談センター　Tel 077-523-5646""}]"
日本の中学校と高校の情報について,滋賀県内の中学校・高校に関する情報は、以下のとおりです。中学校は義務教育ではなく就学は任意ですが、希望すれば公立・私立とも就学可能です。公立小中学校への就学は各市町村教育委員会へ、公私立への就学は直接学校へ問い合わせます。高校へは入学試験に合格する必要があり、一般には外国での教育歴等を踏まえた受験資格要件があります。滋賀県教育委員会事務局への問合せ先は077-528-4573です。,"[{""sid"": ""S2"", ""question"": ""小学校、中学校"", ""answer"": ""日本国内に住所を有する外国人の子どもは、日本の小中学校に就学する義務を負うものではありませんが、希望する場合は就学することができます。公立小中学校は授業料はいりませんが、教材費などは必要です。\n就学の問い合わせ\n- 公立小中学校への就学：各市町村教育委員会\n- 私立小中学校への就学：直接、各小中学校""}, {""sid"": ""S4"", ""question"": ""高校の入学"", ""answer"": ""一般の日本の高校へ入学するためには、入学試験に合格しなければなりません。\n応募資格\n年齢が入学しようとする年の4月1日までに15才に達していること。\n原則として、外国で9年間の学校教育を終了しているか、日本の中学校を卒業、又は卒業見込であること。\n入学の問い合わせ\n滋賀県教育委員会事務局 ： 077-528-4573""}]"
書類の翻訳について,滋賀県国際協会の情報に基づくと、書類の翻訳については、まず郵便局関連の案内は多言語ページが用意されており、各言語で案内が提供されています（S1参照）。年末調整の各種申告書（扶養控除等申告書など）については、国税庁の外国語版の公開が案内されています（S2参照）。したがって、書類の翻訳が必要な場合は、S1の多言語案内とS2の外国語版申告書を参照して、該当する言語の案内・様式を確認してください。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
日本語学校について,滋賀県国際協会の情報のみを根拠として、日本語学校に関する具体的なリストはS1に示されています。S1には京都を中心とする日本語学校の一覧が記載されており、滋賀県の日本語学校の情報は含まれていません。従って、滋賀県に関する日本語学校の事実ベースの情報はS1だけでは提供できません。もし滋賀県内の日本語学校情報をご希望なら、S2-S5には日本語学校に直接関連する情報が含まれておらず、現時点では滋賀県内の学校リストは提示されていません。ご了承ください。,"[{""sid"": ""S1"", ""question"": ""日本語学校 Japanese Language Schools"", ""answer"": ""- 京都日本語学校 (Kyoto Japanese Language School) (http://kjls.or.jp/)\n- 京都文化日本語学校 (Kyoto Institute of Culture and Language) (http://www.kicl.ac.jp/jp/)\n- 京都民際日本語学校 (Kyoto Minsai Japanese Language School) (http://www.kyotominsai.co.jp/)\n- 京都日本語研修センター(Kyoto Japanese Language Training Center) (http://www.kjltc.jp/)\n- YIC京都日本語学院 (YIC Kyoto Japanese Academy) (http://www.yic-kyoto.ac.jp/japanese/)\n- 京都国際アカデミー(Kyoto International Academy of Japanese Language) (http://www.kia-ac.jp/index.html)\n- 日本語センター(Kyoto Japanese Language School) (https://nihongo-center.com/)\n- ARC 京都日本語学校 (ARC Academy Kyoto) (http://japanese.arc-academy.co.jp/?lang=ja)\n- にほんご空間・京都 (Japanese Space Kyoto) (http://j-space.sakura.ne.jp/wp2/)\n- 京進ランゲージアカデミー(Kyoshin Language Academy-Kyoto Chuo School) (http://www.kla.ac/jp/kyoto_chuo/)\n- ISIランゲージスクール 京都校 (ISI Japanese Language School - Kyoto campus) (http://www.isi-education.com/ja/)""}]"
調停の結果,調停の結果については、滋賀県国際協会の情報源S1に基づき、家庭裁判所の調停を検討してください。大津家庭裁判所および支部、京都外国人の夫婦と親子に関する紛争解決センターの連絡先を利用できます。,"[{""sid"": ""S1"", ""question"": ""離婚についての話し合いがうまくいきません。"", ""answer"": ""家庭裁判所の調停で話し合うことができます。（日本語）\n- 大津家庭裁判所 　℡　077-503-8151\n- 大津家庭裁判所 彦根支部 　℡　0749-22-0167\n- 大津家庭裁判所 長浜支部 　℡　0749-62-0240\n- 京都外国人の夫婦と親子に関する紛争解決センター 　℡　075-692-3555""}]"
保証人になる手続きに関する説明資料について,滋賀県国際協会の情報には保証人になる手続きの具体的説明資料は掲載されていません。保証人に関する一般的な取扱いとしては、賃貸契約時に家主へ支援を約束する人として『保証人』を求められるケースがあり得ますが、具体的な手続き方法や必要書類、手数料等の案内は本資料には含まれていません。詳しい手続きは契約先の不動産業者や家主に直接ご確認ください。,"[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
傷病手当金について,傷病手当金は、病気やケガで休業している間の生活を保障する給付金です。支給額は直近12か月の給与の平均の2/3で、勤務先の給与総額を基に算出され、手取り額とは異なる点に注意してください。支給条件は以下のとおりです。 1) 業務外の事由による病気やケガの療養のための休業であること。 2) 仕事に就くことができないこと（医師の証明が必要）。 3) 連続する3日間を含み4日以上仕事につけなかったこと。 4) 休業期間について給与の支払いがないこと（事業主の証明が必要）。詳細は協会けんぽ滋賀支部に問い合わせてください（℡ 077-522-1099）。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
在留資格の更新手続きについて,滋賀県在住の方は在留関係の手続き全般を大阪入国管理局大津出張所で行います。在留資格の更新は、有効期限が切れる前に更新申請を行い、在留資格の活動内容や条件を引き続き満たす必要があります。申請時には最新の在留資格の要件に従い、必要書類を揃えて申請します。詳しくは滋賀県在住者向け窓口情報および大阪出入国管理局の案内をご確認ください。なお、手続きや提出書類の詳細は法務省の在留関係手続きページをご参照ください。,"[{""sid"": ""S1"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
病院へ行く際について,病院へ行く際は、保険証を必ず持参し提示すると医療費が3割負担になります。時間外は追加料金が発生することがあるため、診療時間を事前に確認してください。初診で大病院を受診する場合は特別料金がかかることがあり、紹介状なしでの受診は避け、かかりつけ医を利用して必要に応じ紹介状をもらいましょう。複数の病院を受診すると初診料等が重複して費用が高くなるため、同じ病院を使うことをおすすめします。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ２】日本での病院のかかり方について"", ""answer"": ""保険証を持っていこう\n保険証とは、病院で受診するときに提示するカードです。会社や市役所から発行されます。日本では病院で保険証を提示すると、国の基準で定めた医療費の３割で受診できるのでとても安くなります。でも保険証を忘れてしまうと全額自己負担になるだけでなく、国の基準ではなく病院が自由に医療費を決めるため、より高額になることがあります。出かけるときは忘れずに保険証を携帯しましょう。将来はマイナンバーカードが保険証として使えるようになりますから、早めにマイナンバーカードを作ったほうが良さそうですね。\n保険証が使えないときもある\n保険証は日本のほとんどの病院や調剤薬局で使うことができます。しかし使えない受診もあります。民間療法など国の基準に該当しない治療のほか、美容整形や歯列矯正など日常生活に支障がない治療には使えません。予防接種や健康診断、人工妊娠中絶も対象外になります。仕事中や通勤中の怪我の場合、会社で働いている方は健康保険とは別に労働災害保険にも入っていますので、労働災害保険が補償してくれます。会社に相談してください。そしてこの場合、保険証は使えませんので注意してください。\n【病院のかかり方で上手に節約】\n休日や夜間に急病になったとき、診療してくれる医療機関は心強い存在です。しかし病院のかかり方によっては、割増料金がかかり医療費が高額になることがあります。\n◇時間外に受診すると追加料金がかかる\n診療時間外（夜間、早朝、休日（日曜・祝日）、深夜）に受診すると、通常料金とは別に追加料金を支払うことになります。また薬局で薬を調剤してもらう場合も同様です。ホームぺージ等で診療時間を確認してから行きましょう。\n◇いきなり大病院に行くと特別料金がかかる\n大きな病院に紹介状なしで受診をすると特別料金が5,000円以上かかります。\nまずはお近くのかかりつけ医を受診し、必要な場合は紹介状を書いてもらい大病院を受診しましょう。\n◇複数の病院を受診すると医療費が高くなる\n「症状がよくならないから」「場所が遠いから」などの理由で病院を変えたことはありませんか？\nしかし、途中で病院を変えると毎回「初診料」がかかり、検査や投薬も重複するため、医療費が高くなります。「かかりつけ医」を決めて、同じ病院で受診しましょう。""}]"
入院費用の支払いについて,入院費用についての具体的な支払い額の扱いは、提供元の情報には直接記載がありません。しかし、紹介状なしで大病院を受診した場合の特別料金などは記載されています。入院費用の負担や適用される制度（高額療養費等）は、病院の規模や状況により異なる可能性がありますので、まず住居地の診療所を受診し、適切な紹介を受けることをお勧めします。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です～"", ""answer"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}]"
傷病手当の申請について,傷病手当金は、病気やケガで休業し給与が支払われない場合に支給されます。支給額は直近12か月の給与の2/3で、勤務先が社会保険に届け出ている給与総額が基準となり、手取りとは異なります。支給の条件は、業務外の理由による療養であること、医師の就業不能の証明があること、連続する3日を含み4日以上休業し給与の支払いがないことです。その他詳細は協会けんぽ滋賀支部へ問い合わせてください（℡077-522-1099）。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
個人情報について,個人情報の取り扱いについて滋賀県国際協会の情報のみを根拠に簡潔に回答します。個人情報は、本人の同意なく収集・利用してはならず、目的を超えた利用や第三者提供には慎重であるべきです。特に未成年者の情報をオンライン上で安易に共有しないこと、身元証明や連絡先などの重要情報は信頼できる場所以外には提供しないことが重要です。闇バイトや犯罪関与を招く情報提供は避け、必要な場合は雇用契約書の有無や内容を十分に確認してください。相談先として、滋賀労働局の連絡先や警察相談ダイヤル#9110など適切な窓口を活用してください。なお、予防接種や住民手続きに関する公式情報はS4/S5の関連リソースを参照してください。,"[{""sid"": ""S2"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S3"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S4"", ""question"": ""予防接種について"", ""answer"": ""予防接種リサーチセンターのウェブサイトを確認してください。""}, {""sid"": ""S5"", ""question"": ""住民手続きについて"", ""answer"": ""- 住民基本台帳について (http://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/zairyu/related_materials-publicity_leaflets-etc.html)\n- マイナンバー制度について (https://www.digital.go.jp/policies/mynumber) マイナンバーカードについて (https://www.kojinbango-card.go.jp/)\n- 転入・転出について (http://www.soumu.go.jp/main_sosiki/jichi_gyousei/c-gyousei/zairyu/move-in_move-out.html)""}]"
日系四世の在留資格認定書について,日系四世の在留資格認定書に関する具体的な案内は、提示された滋賀県国際協会の情報には含まれていません。提供された情報の範囲では、在留資格の一般的な内容や在留関係の手続きの窓口、外国人の預貯金口座・送金、婚姻届、求職、雇用保険についての説明のみが記載されています。日系四世の在留資格認定書については、大阪入国管理局大津出張所や外国人在留インフォメーションセンター等の在留関係窓口に直接確認することが適切です。,"[{""sid"": ""S1"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
家計簿について,滋賀県国際協会の情報に基づくと、家計簿についての具体的な案内は提供されていません。一般的には収入と支出を整理するための家計簿をつけることが推奨されますが、滋賀県国際協会の公式情報としては特定の作成方法やフォーマットの案内は確認できません。必要であれば、他機関の情報も併用してください。,"[{""sid"": ""S1"", ""question"": ""確定申告　2025年2月17日（月）～3月17日（月）"", ""answer"": ""多額の医療費を支払った、住宅ローンがあるなど控除額に訂正がある場合や事業所得者、複数の場所で所得がある方は税務署で確定申告をしましょう。""}]"
就業規則の翻訳,"滋賀県国際協会の情報に基づくと、就業規則の翻訳自体の法的義務は直接言及されていませんが、賃金・労働条件の明示や外国人労働者への理解可能な書面交付が要件として挙げられています（雇用通知・労働条件の明示、雇入通知書の交付）。翻訳の要否は明記されていませんが、外国人労働者が理解できるよう内容を明らかにした書面の交付が求められます。特に賃金・労働時間等の主要条件の明示が必要です（S2参照）。なお、派遣労働に関する新ルールや不合理な待遇差の禁止など、別の規定も適用されます（S1,S4,S3,S2参照）。","[{""sid"": ""S2"", ""question"": ""日本の労働関係法令（事業主側に求められていること ）"", ""answer"": ""国籍を理由とする差別的取り扱いの禁止\n使用者は、労働者の国籍、信条又は社会的身分を理由として、賃金、労働時間、その他の労働条件について、差別的取り扱いをしてはならないとされています。（労働基準法　第3条）\n労働条件の明示\n使用者は、労働契約を締結するにあたって、賃金、労働時間その他の労働条件を労働者に明示しなければなりません。特に賃金に関する事項は、書面で明示することが必要です。（労働基準法15条）\nまた、雇い入れにあたっては、賃金、労働時間等の主要な労働条件について、外国人労働者が理解できるようその内容を明らかにした書面（雇入通知書）を交付するよう求められています。\n強制労働･中間搾取の禁止\n使用者は、暴行や脅迫等で、労働者の意思に反して労働を強制してはなりません。\nまた、法令に基づいて許される場合のほか、業として他人の就職に介入して利益を得てはなりません。\n労働契約の不履行について違約金，損害賠償額を予定する契約の禁止\n契約期間満了前の退職等，労働者側の労働契約不履行について違約金を定めたり、損害賠償の額を予定する契約をすることは禁止されています。（労働基準法第16条）\n労働災害にあって療養中の労働者に対する解雇の制限\n業務上負傷し、又は疾病にかかり療養のために休業する期間及びその後30日間の解雇は禁止されています。(労働基準法第19条)\n解雇の予告\n労働者を解雇する場合には、少なくとも30日前に予告する必要があります。30日前に予告しない場合には30日に不足する日数分の平均賃金 (解雇予告手当)を支払う必要があります。\nただし、天災などのやむを得ない事由のために事業の継続が不可能になった場合や、労働者の責に帰すべき事由により解雇する場合はこの限りではありませんが、その場合、労働基準監督署長による解雇予告の除外認定を受けることが必要です。（労働基準法第20条､第21条）\n賃金の支払い\n賃金は､通貨で､労働者に対し直接に､全額を､毎月1回以上、一定期日を定めて支払わなければなりません。ただし、税金、雇用保険料などの法定控除及び組合費などの労使協定による控除は全額払いの例外となります。(労働基準法第24条)\n最低賃金\n使用者は労働者に対し最低賃金額以上の賃金を支払わなくてはなりません。最低賃金には、地域別最低賃金と産業別最低賃金があります。(最低賃金法)\n労働時間､休日\n法定労働時間は、1日8時間、1週間40時間 (一部の規模・業種の事業場については46時間)となっています。(労働基準法第32条。第40条)法定の休日は、週について１日又は４週について４日以上とされています。(労働基準法第35条)\n時間外・休日労働及び深夜労働の割増賃金\n法定の労働時間を延長し､法定の休日に労働させるには、法令で定められた一定の手続きが必要とされています。（労働基準法第36条）\nまた、法定の労働時間を超える労働に対しては､通常の労働時間または労働日の賃金の25％以上の率、法定の休日における労働に対しては、35％以上の率で計算した割増賃金を支払わなければなりません。\nさらに、深夜（午後10時から午前5時まで）における労働に対しても、25％以上の率で計算した割増賃金を支払わなければなりません。（労働基準法第37条）\n年次有給休暇\n6ヶ月間継続勤務し、全労働の8割以上出勤した労働者に対しては､年次有給休暇を与えなければなりません。（労働基準法第39条）\n金品の返還\n我が国に在留する外国人は、旅券又は外国人登録証明書を常時携帯する必要がある（入管法第23条）ので、事業主は旅券等を保管しないこととされています。\nまた、労働者が退職する際に、請求があった場合、7日以内に当該労働者の権利に属する金品を返還しなければなりません。（労働基準法第23条）\n安全衛生\n労働者の安全と衛生を確保するため、安全衛生教育（雇入れ時の教育等）、健康診断の実施等、労働者の危険又は健康障害を防止するための措置を講じなければなりません。（労働安全衛生法）""}]"
