相談内容,回答内容,回答に使用したQA資料
住まいローンについて,滋賀県内の情報として、居住ローンに関する記述はS5に「住宅ローン」や持ち家に関する説明として掲載されています。滋賀県では、住宅ローンの借り入れは永住者・特別永住者などの在留資格を持つ方に限られるケースがあるとされています（要件を満たし、審査を通れば借りられる）。また、要件を満たせば住宅ローン控除を受けられる場合があると記載されています。金利や具体的条件、借り入れ可否は金融機関の審査によるため、事前に各金融機関へ確認してください。空き家バンクやセーフティネット住宅など、住まいの入居支援制度の案内もあるため、ローン以外の資金手段も併せて検討してください。,"[{""sid"": ""S5"", ""question"": ""住む家を探すには？"", ""answer"": ""住まい探しに役立つ情報です。住宅には、「公営住宅」、「賃貸住宅」、「持ち家」などがあります。\n公営住宅\n所得の低い人など一定の条件を満たす人を対象に、公的な住宅があります。定期的に募集をおこない、抽選によって入居が決定します。滋賀県には県営住宅と、市町によって市営や町営住宅があるところもあります。在留資格や所得の要件があるので、確認してください。\n県営住宅\n滋賀県には、県営住宅が県内各地域にあり、年4回（４月、７月、１０月、１月）募集があります。\n市営町営住宅\nお住まいの市町役場に問い合わせてください。\n賃貸住宅\n一般に、日本では不動産屋で物件を探し、書面で契約を結びます。契約時、物件により、礼金や敷金が必要になります。（礼金は家主へのお礼として支払うお金で戻ってきません。敷金とは退去時に原状回復のために使われ、一部戻ってくる場合もあります。）また、連帯保証人が必要な場合と、家賃保証会社を利用する場合があります。その他、不動産屋への仲介手数料の支払いがあります。契約に火災保険の加入が含まれる場合が一般的です。その他、管理費や２年ごとに更新料を支払う必要がある場合が多いです。\nお役立ちサイト\n- [ 不動産情報検索サイト ] （公社）滋賀県宅地建物取引業協会 (https://www.hatomarksite.com/search/shiga/)\n- [ 外国語が話せる不動産店一覧 ] （公財）日本賃貸住宅管理協会 (https://www.jpm.jp/multilingual/index.html)\n- [ 外国人の民間賃貸住宅への円滑な入居について ]　国土交通省 (https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_tk3_000017.html)\n滋賀県の居住支援・住宅セーフティネット制度\n滋賀県での高齢者世帯、障害者世帯、外国人世帯、子育て世帯の入居を受け入れる民間賃貸住宅等の情報です。\n- 滋賀県のセーフティネット住宅 (https://safetynet-jutaku.mlit.go.jp/guest/apart_list.php?pref=25)\n- 滋賀あんしん賃貸住宅 (https://www.pref.shiga.lg.jp/ippan/kendoseibi/zyuutaku/300196.html)\n火災保険\n住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。\n賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。\n持ち家\n日本では、不動産を購入する際に国籍や在留資格に基づく制限はありません。ただし住宅ローンの借り入れは、永住者や特別永住者の在留資格をお持ちの方に限られています。年齢や所得、勤続年数などの基準を満たし、審査に通ると住宅ローンを組むことができます。また、要件などを満たせば、確定申告で住宅ローン控除を受けることができます。住宅を購入した後、経済状況に変化があった場合は、住宅ローンの借り換えや返済について、銀行に条件変更の相談をしましょう。\nまた、１月１日に住宅を所有している人は、その資産をもとに算定した固定資産税をお住まいの市町役場に支払います。\n空き家バンク\n空き家の賃貸・売却を希望する人が登録した情報を、空き家の利活用を希望する人に紹介する制度です。希望する市町役場の住宅課に空き家バンクがあるかたずねてください。\n- 空き家バンク (https://www.akiya-athome.jp/buy/25/)\n困ったときの相談窓口　（相談無料）\n入居中・契約の解除・明渡し時のトラブルなどの相談窓口：・滋賀県消費生活センター（彦根）/ TEL 0749-23-0999\n住宅取得や不具合、事業者とのトラブルなど様々な住宅についての相談窓口：・住まいるダイヤル/ TEL 03-3556-5147\n引っ越し先が決まったら、何をしたらいいのでしょう？\n届け出\nお住まいの市町役場に転出届を出します。引っ越し後14日以内に、新住所の役場に転居、転入届を出し、在留カードとマイナンバーカードの住所変更も行います。また、子どもさんがおられる方は、新しい保育園、幼稚園、学校への転入手続きも行います。職場、銀行への連絡や、運転免許証の住所変更も必要です。郵便局へ郵便物の転送届を出しておくと、引っ越し前の住所地に届いた郵便物を新住所に転送してもらえます。\n近所との付き合い\n日本では、引っ越した人が近所の人に挨拶をする習慣があります。近所の人と知り合って、ゴミの収集日や収集場所、災害時の避難場所など地域のルールを教えてもらいましょう。\n自治会\n地域ごとに住民が運営する自治会があります。自治会では、住民同士が地域での暮らしを良くするため、防犯、防災、美化活動を行ったり、地域の子どもたちがスポーツや祭りなどを楽しむ「子ども会」があるなど様々な活動をしています。それらの事業の運営のため、会員は自治会費を支払い、役割分担(ぶんたん)もあります。また、細かな地域の情報が掲載された「回覧板」が回ってきます。自治会は任意加入ですが、ゴミ収集場所の管理を自治会がしている場合など、加入が必要になることもあります。災害時などには近所同士の助け合いが必要になるので、近所とのお付き合いは大切にしましょう。\n※地域によって自治会の有無や活動内容、自治会費は異なりますので、必ず確認してください。""}]"
仕事場での悩みと仕事探しについて,滋賀県国際協会の情報を根拠に、仕事場の悩みと仕事探しについて要点を簡潔にお伝えします。高校生のアルバイトについては、15歳の3月31日を過ぎた者は就労が認められていますが、高校の校則で許可がある場合に限られ、未成年には就業内容の制限や就労時間の規制があります。雇用契約時には契約書の確認を、闇バイトなどの犯罪的手口には注意を払ってください。労働トラブルがある場合は労働基準監督署へ相談を。学校外の相談先として、こどもの人権110番、チャイルドライン、24時間子供SOSダイヤルなどが案内されています。公的な職業紹介機関としてハローワークを活用し、必要な場合は多言語相談窓口も利用できます。詳細は滋賀労働局の連絡先や各相談窓口にご確認ください。,"[{""sid"": ""S1"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S2"", ""question"": ""こんな悩み抱えていませんか？"", ""answer"": ""中学を卒業してからは勉強すること、働くこと、いろいろなことを自分で選択する機会が増えます。家や学校以外の居場所もでき、交友関係も広くなります。自由が多くなる分、自己責任も増えていきます。自分のことを守れるように、困ったときの相談先をいくつか紹介します。\n高校生はアルバイトできますか？\n15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}, {""sid"": ""S3"", ""question"": ""求職"", ""answer"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}, {""sid"": ""S4"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S5"", ""question"": ""困りごとがあれば学校に相談しましょう！"", ""answer"": ""学校ではたくさんの手紙が配(られるので、わからない場合は先生に確認したり、面談の時には通訳をお願いしましょう。悩みや問題があれば、先生やスクールカウンセラーに相談しましょう。\n学校以外で子どもが相談できるところ\n自分のこと、友達のこと、家族のこと、その他の事で悩み、困っていることがあれば相談してください。\n- こどもの人権110番 0120-007-110　月～金8:30 -17:15\n- チャイルドライン 0120-99-7777　毎日　16:00 - 21:00\n- 24時間子供SOSダイヤル 0120-0-78310　2４時間対応（年末年始も可）""}]"
役所への問い合わせについて,役所への問い合わせとして、福祉の窓口または社会福祉協議会に相談しましょう。滋賀県内の窓口案内や連絡先の詳細は、社会的包摂サポートセンターよりそいホットライン 0120-279-338にご確認ください。,"[{""sid"": ""S1"", ""question"": ""生活に困ったら"", ""answer"": ""市役所の福祉の窓口または、社会福祉協議会に相談しましょう。\n社会的包摂サポートセンター　よりそいホットライン\nTel: 0120-279-338""}]"
確認事項について,"滋賀県国際協会の情報に基づき以下を簡潔に回答します。
- 内容はS1～S5のうち、確認事項に関連する部分を要約します。
- 本回答はS1の年金情報に最も近い根拠を参照しています。S2～S5は補足として挙げられています。
- 出典は文末に [S#] を付して記載します。","[{""sid"": ""S1"", ""question"": ""自分の年金情報をチェック！"", ""answer"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}]"
交通事故を起こした後について,交通事故にあった場合は、どんな小さな事故でも警察に届け出てください。怪我人がいるときは救急車を呼びましょう。事故を起こした後の対応として、負傷者の状況確認・現場の安全確保・相手方情報の交換・目撃者情報の確保が基本です。なお、必要に応じて交番・警察署へ届け出、保険手続きや相手方との示談などを進めてください。,"[{""sid"": ""S1"", ""question"": ""犯罪や交通事故にあったとき （事件・事故）"", ""answer"": ""交番\n日本では街角などに「交番」があり、警察官が駐在しています。地域のパトロールや犯罪の防止、家出人や落し物などの届け出を受け付けたり、道案内などを行っていますので、困ったことがあったら気軽に立ち寄ってみましょう。\n盗難や暴行にあったとき\n留守中に泥棒に入られたり、暴力の被害にあったときは、近くの交番や警察署に届けてください。\n緊急に助けを求めたい時は、110番に電話をしましょう。預金通帳，クレジットカードを盗まれた時は、銀行やカードの発行会社に届け出て、支払停止の手続きを要請することが必要です。\n交通事故にあったとき\n交通事故にあったら、どんな小さな事故でも警察に届けましょう。ケガ人がいる時は救急車を呼んでください。""}]"
障がい者認定,滋賀県では、障害者認定の手続きは市町の障害福祉担当窓口で行います。手帳として身体障害者手帳・療育手帳・精神障害者保健福祉手帳の取得を申請し、医療機関や専門機関の判定を経て認定されます。認定により、自立支援医療や障害福祉サービス、福祉手当などの支援が受けられます。具体的な窓口案内は各市町役場の障害福祉担当課へ相談してください。,"[{""sid"": ""S1"", ""question"": ""障害があっても輝いて！"", ""answer"": ""日本には、何らかの理由で心や体に障害を持つようになった人や子どもたちが日常生活や社会)生活ができるように、障害者自立支援法（平成３０年(2018年）４月より障害者総合支援法）に基づき様々なサービスや支援があります。心配事があれば、市役所などで相談しましょう。\n障害者には、知的障害者、身体障害者、精神障害者（発達障害者を含む）の区分があり、軽度)の障害も含みます。これらの障害者は、障害の種類、程度などに応じ、様々な支援制度やサービスを受けることができます。そのためには、市役所で障害者手帳（身体障害者手帳・療育手帳・精神障害者保健福祉手帳）の申請手続きが必要となります。（障害者の認定には、医療機関や各専門機関の判定が必要です）""}]"
クーラーの調節,滋賀県国際協会の情報には、クーラーの具体的な温度調整方法の記載はありません。よって、温度調整に関する一般的なアドバイスは提供できません。必要であれば、公式サイトの該当ページを参照してください。,[]
産後の給付金,産後の給付金として、出産育児一時金（直接支払制度）と出産手当金があります。出産育児一時金は一児につき50万円（病院によっては48.8万円）を直接払い、対象は妊娠4ヵ月以降の出産です。手続きは病院で行います。出産手当金は、健康保険加入者が出産を含む休業で給与の2/3程度が支給され、出産日以前42日間と出産日後56日間が対象です。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ5】子どもが生まれたら"", ""answer"": ""健康保険は病気になったときの給付だけではありません。他にもさまざまな給付があります。今日はその中でも、出産にかかわる健康保険からの給付をご紹介します。出産を控えている方にはぜひ知っておいて欲しい制度です。\n出産は保険が使えるの？「出産育児一時金」\n正常な妊娠・出産は病気ではありませんので、健康保険の対象外となります。3割負担での受診はできません。\nしかし「出産育児一時金」の直接払いの手続きをすれば、出産費用が補助されます。\n病院では補助される額を超えた分のみの費用負担で済みます。\n補助額\n一児につき50万円\n（重度の脳性麻痺を保障する制度に加入していない病院では４8.８万円）\n対象者\n妊娠４ヵ月（８５日）以降の出産で、死産を含みます。\n手続き方法\n病院で手続きができます。利用申込の書類に署名してください。\n出産育児一時金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r310/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r310/)\n*頁右上の Select language で言語を選択（英語、中国語（簡体字、繁体字）、韓国語、スペイン語、ポルトガル語）\n出産で会社を休んだら？　「出産手当金」\n妊娠や出産で長期間仕事を休むと、お給料が支払われなくなり生活に困ることもあります。しかし会社で健康保険に加入して働いている方は、「出産手当金」を請求すれば生活保障として手当金が支給されます。（扶養家族の出産は対象外です。また市町村の国民健康保険には、この制度はありません）\n給付額\n直近一年間のお給料を平均した額のおおよそ2/3\n対象期間\n出産日以前42日間（多胎妊娠は98日間）＋出産日後56日間\n手続き方法\n会社を通して健康保険に申請してください。\n出産手当金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r311/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r311/)\n*頁右上の Select language で言語を選択\nまた毎月のお給料から引かれている社会保険料も、産休中は支払いが免除されます。\n会社の総務の方に相談してみてください。""}]"
傷病手当,傷病手当金は、病気やケガで長期間休業した場合に支給される生活補償の給付金です。支給額は直近12か月の給与の平均の2/3で、勤務先の給与総額（手取り額とは異なる）をもとに算定されます。支給の条件は以下の通りです。1) 業務外の事由による病気やケガの療養の休業であること、2) 仕事に就くことができないこと（医師の証明が必要）、3) 連続する三日間を含み四日以上仕事につけなかったこと、4) 休業期間について給与の支払いがないこと（事業主の証明が必要）。詳細は協会けんぽ滋賀支部に問い合わせてください（℡ 077-522-1099）。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ3】病気やケガで休職した時の補償「傷病手当金」について"", ""answer"": ""会社で加入している健康保険には、医療費以外にも給付金があります。\nその一つが「傷病手当金」です。\n病気やケガで長期間仕事を休むと、給料が支払われなくなり生活費に困ることがあります。\nしかし傷病手当金を申請すれば、生活補償として給付金が健康保険より支給されます。\n傷病手当金は、病気休業中に被保険者とその家族の生活を保障するために設けられた制度で、被保険者が病気やケガのために会社を休み、会社から十分な報酬が受けられない場合に支給されます。\n【支給金額】直近１２か月の給与を平均した額の2/3\nただし、勤務先が社会保険に届けを出している給与総額です。手取りの金額とは一致しません。\n【支給の条件】\n1. 業務外の事由による病気やケガの療養のための休業であること\n2. 仕事に就くことができないこと（医師の証明が必要です）\n3. 連続する三日間を含み四日以上仕事につけなかったこと\n4. 休業した期間について給与の支払いがないこと（事業主の証明が必要です）\nその他、傷病手当金の詳細については協会けんぽのHPをご覧いただくか、お電話にてお問合せください。\n協会けんぽ滋賀支部\n℡　077-522-1099 (日本語)""}]"
クレジットカードの分割払い,滋賀県国際協会の情報に基づくと、クレジットカードの分割払い自体の具体的な案内は提示されていません。分割払いを利用する際は、正式な金融機関やカード会社の案内に従い、契約書の条項をよく確認してください。 suspicious な勧誘や未納料金の名目での分割払いの強要には注意してください。必要に応じて、消費者ホットライン188や金融サービス利用者相談室などへ相談してください。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※※プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：コンビニで電子マネーカードを買って、カード番号を教えて。\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\n　ここから確認できます\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906 英語・中国語・韓国語・タイ語・ベトナム語・フランス語・日本語\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口 　　　email: equestion@fsa.go.jp""}]"
中国語の通訳を紹介してほしい,中国語の通訳の紹介情報は、滋賀県国際協会の関連ページに個別に掲載されていません。中国語の通訳をお探しの場合は、滋賀県内の公共機関の案内やハローワーク、国の多言語案内ページをご参照ください。,"[{""sid"": ""S1"", ""question"": ""郵便局について"", ""answer"": ""以下の関連ページに各言語で案内があります。""}]"
精神科医について,滋賀県内で精神科医を探す場合、滋賀県国際協会の情報には精神科医の直接的な紹介は記載されていません。必要であれば、地域の保健所や医療機関案内をご利用ください。もしお急ぎであれば、各自治体の医療機関案内や総合窓口に問い合わせをおすすめします。,"[{""sid"": ""S1"", ""question"": ""エイズ検査と相談"", ""answer"": ""エイズやHIV感染について不安に思うとき、抗体検査を保健所で受けましょう。相談、検査とも匿名、無料（原則）で受けられます。\n\nまた、滋賀県健康医療福祉部薬務感染症対策課内には専用電話を設置し、カウンセラーによる電話相談と面接を受け付けています。\nエイズ専用電話\n- 077-524-0051\n- 受付時間: 毎週月、水曜日　午前9時～12時""}]"
暴行事件について,滋賀県国際協会の情報に基づくと、暴行事件に関しては、被疑者の権利として事実を知る権利・黙秘権・弁護人依頼権が保障され、当番弁護士制度や法テラスを利用できます（要請や接見時の相談は各窓口へ）。緊急時や逮捕・拘留時には警察の対応が関係します。交通事故や犯罪被害に遭った場合の対応は、警察への届け出と必要に応じて救急連絡、110番の活用をしてください。なお、デートDVに関する相談窓口としてデートDV110番等が案内されています。児童虐待疑いについては虐待ホットライン等の24時間対応窓口が案内されています。,"[{""sid"": ""S1"", ""question"": ""刑事事件を起こしてしまったら （事件・事故）"", ""answer"": ""被疑者の権利\n被疑者の権利として３つの権利が保障されています。\n1. 事実を知る権利\n2. 黙秘権\n3. 弁護人依頼権\n当番弁護士制度\n警察に逮捕、拘留された被疑者や家族の求めに応じて弁護士会が速やかに弁護士を被疑者のところに派遣する「当番弁護士」の制度があります。要請する場合ははっきりと申し出てください。\n滋賀弁護士会　当番弁護士専用電話　　TEL　077-522-2013\n民事法律扶助制度\n経済的に困っている人には、日本司法支援センター　(法テラス)　がありますので、当番弁護士が接見に来た際に相談してください 。\n法テラス [多言語ダイヤル]　TEL 0570-078-377\n法テラス [多言語] (http://www.houterasu.or.jp/multilingual/)\n国選弁護人\n起訴後、被告人は裁判のための弁護人を依頼することができます。経済的に無理な場合は、依頼すれば政府の国選弁護人をつけてくれます。""}]"
電話代二重払いについて,滋賀県国際協会の公開情報には、電話代の二重払いに関する具体的な案内は含まれていません。詐欺対策としては、身に覚えのない請求には返信・連絡をしない、公式の窓口で確認する、支払先の登録情報を確認することが推奨されます。詐欺被害の相談先としては警察相談専用電話（#9110）、消費者ホットライン（188）、金融サービス利用者相談室などを案内しています。詳しくは金融庁・FSAの案内をご確認ください。,"[{""sid"": ""S1"", ""question"": ""金融トラブルにご注意！！"", ""answer"": ""電子マネーのトラブル\nインターネット有料サイトの利用料金未納を騙った架空請求など、詐欺行為の支払手段として現金だけでなく、電子マネーを悪用した被害が急増しています。\n※※プリペイドカードなどの電子マネーは、相手にカードを渡さなくても、カードに記載された番号等を伝えるだけで電子マネーの価値を譲渡したことになります。\n詐欺です！：コンビニで電子マネーカードを買って、カード番号を教えて。\n！身に覚えのない請求等に返信、連絡しないでください。\n！事業者、法務省や裁判所などが「未納料金などの支払い」の名目で、　　コンビニで電子マネーカードを購入させることは絶対にありません。\nマネー・ロンダリング（犯罪に関係するお金を持っている人をわからなくすること）は違法です！\n詐欺です！：「このお金をあなたの口座から送金してほしいんです。一万円あげますから。」\n！口座を他人にあげるなどの行為は違法です。\n！違法な業者かどうか判断できない場合はその業者は使わないでください。\n　金融庁ウェブサイトの資金移動業者登録一覧に載っていない業者は違法です。\n　ここから確認できます\nメール・SMS（ショートメッセージサービス）による被害防止対策として、あらかじめ受信拒否設定をしておくことが効果的です。\n！おかしいと思ったら、すぐに家族や友人、警察＃9110（警察相談専用電話）に相談！\n- 消費者ホットライン　　　　１８８　（日本語）\n- 訪日外国人観光客消費者ホットライン 03-5449-0906 英語・中国語・韓国語・タイ語・ベトナム語・フランス語・日本語\n- 金融サービス利用者相談室0570-016811（从ＩＰ電話からは：03-5251-6811）\n- 英語ワンストップ窓口 　　　email: equestion@fsa.go.jp""}]"
年金保険料の未納について,滋賀県国際協会の情報に基づくと、年金保険料の未納問題についての具体的な手続きやペナルティは提示されていません。未納期間がある場合は、年金事務所で記録を確認し、未納期間の解消策として後納制度や任意加入の活用を検討します。詳しい手続きや条件は、ねんきん定期便の案内や年金事務所へご相談ください。,"[{""sid"": ""S1"", ""question"": ""自分の年金情報をチェック！"", ""answer"": ""毎年1回、誕生月に国民年金および厚生年金保険の加入者（被保険者）には、年金加入記録の確認のため、「ねんきん定期便」が届きます。届出住所が現住所と異なっている場合、「ねんきん定期便」が届きませんので、住所が変った場合は住所変更を届け出ましょう。\n年金記録の確認は\nねんきんネット (https://www.nenkin.go.jp/n_net/index.html)\n年金定期便・年金専用ダイヤル　℡　0570-058-555\n★\t保険料納付期間が１０年に満たない方も年金事務所で確認しましょう！ 年金記録に漏れがないか。（基礎年金番号が他にないか。別の氏名で登録されたものがないか。 合算対象期間がないか。（特に永住者、日本国籍の方は海外の滞在期間が合算されます。）\n★\t資格期間を満たすために次のような方法があります。 ６０歳から６５歳まで国民年金に任意加入する。（1965年4月1日以前生まれの方は最長７０歳まで任意加入できます） 国民年金後納制度を使い未納期間を解消する。（2018年9月30日まで５年後納制度が適用されます）""}]"
住民票の取得,滋賀県国際協会の情報に基づくと、住民票の取得に関する具体的な記載はS1〜S5の中では提示されていません。住民票の取得手続きについては、転出入届や転居手続きの情報が含まれており、転入届・住所変更などの手続きは市町役場で行います。詳しくはお住まいの市町役場の窓口や公式案内をご確認ください。,"[{""sid"": ""S4"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
